Album,Song Title,Region,State,Country,Continent,latitude,longitude
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Welcome To New York (Taylor's Version),New York City,New York,United States,North America,40.7127281,-74.0060152
1989 (Taylor's Version),Bad Blood (Remix),Iraq,—,Iraq,Asia,33.0955793,44.1749775
1989 (Taylor's Version),Now That We Don't Talk (Taylor's Version) (From The Vault),the Red Sea,—,Egypt / Saudi Arabia (Red Sea region),Africa / Asia,20.5,38.5
1989 (Taylor's Version),Slut! (Taylor's Version) (From The Vault),Sunrise Boulevard,California,United States,North America,38.5969,-121.2657839
evermore,tis the damn season,Los Angeles,California,United States,North America,34.0536909,-118.242766
evermore,dorothea,Tupelo,Mississippi,United States,North America,34.2576067,-88.7033859
evermore,dorothea,Tupelo,Mississippi,United States,North America,34.2576067,-88.7033859
evermore,coney island,Coney Island,New York,United States,North America,40.5765081,-73.9929419
evermore,coney island,Coney Island,New York,United States,North America,40.5765081,-73.9929419
Fearless (Taylor's Version),White Horse (Taylor's Version),Hollywood,California,United States,North America,34.0980031,-118.329523
Fearless (Taylor's Version),White Horse (Taylor's Version),Hollywood,California,United States,North America,34.0980031,-118.329523
folklore,the last great american dynasty,St. Louis,California,United States,North America,38.627003,-90.199404
folklore,the last great american dynasty,Rhode Island,Rhode Island,United States,North America,41.5524601,-71.2704553
folklore,seven,Pennsylvania,Pennsylvania,United States,North America,40.9699889,-77.727883
folklore,seven,India,—,India,Asia,22.3511148,78.6677428
folklore,invisible string,Centennial Park,Tennessee,United States,North America,36.1498435,-86.8140736
folklore,invisible string,Los Angeles,California,United States,North America,34.0536909,-118.242766
folklore,invisible string,Centennial Park,Tennessee,United States,North America,36.1498435,-86.8140736
folklore,hoax,New York City,New York,United States,North America,40.7127281,-74.0060152
Lover,I Think He Knows,16th Avenue,Tennessee,United States,North America,36.1539,-86.7967
Lover,I Think He Knows,16th Avenue,Tennessee,United States,North America,36.1539,-86.7967
Lover,I Think He Knows,16th Avenue,Tennessee,United States,North America,36.1539,-86.7967
Lover,I Think He Knows,16th Avenue,Tennessee,United States,North America,36.1539,-86.7967
Lover,Cornelia Street,Cornelia Street,New York,United States,North America,40.7354292,-74.0022882
Lover,Cornelia Street,Cornelia Street,New York,United States,North America,40.7354292,-74.0022882
Lover,Cornelia Street,Cornelia Street,New York,United States,North America,40.7354292,-74.0022882
Lover,Cornelia Street,Cornelia Street,New York,United States,North America,40.7354292,-74.0022882
Lover,Cornelia Street,Cornelia Street,New York,United States,North America,40.7354292,-74.0022882
Lover,Cornelia Street,Cornelia Street,New York,United States,North America,40.7354292,-74.0022882
Lover,Cornelia Street,Cornelia Street,New York,United States,North America,40.7354292,-74.0022882
