Album,Song
1989 (Taylor's Version),- Welcome To New York (Taylor's Version)
1989 (Taylor's Version),- Blank Space (Taylor's Version)
1989 (Taylor's Version),- Style (Taylor's Version)
1989 (Taylor's Version),- Out Of The Woods (Taylor's Version)
1989 (Taylor's Version),- All You Had To Do Was Stay (Taylor's Version)
1989 (Taylor's Version),- Shake It Off (Taylor's Version)
1989 (Taylor's Version),- I Wish You Would (Taylor's Version)
1989 (Taylor's Version),- Bad Blood (Taylor's Version)
1989 (Taylor's Version),- Wildest Dreams (Taylor's Version)
1989 (Taylor's Version),- How You Get The Girl (Taylor's Version)
1989 (Taylor's Version),- This Love (Taylor's Version)
1989 (Taylor's Version),- I Know Places (Taylor's Version)
1989 (Taylor's Version),- Clean (Taylor's Version)
1989 (Taylor's Version),- Wonderland (Taylor's Version)
1989 (Taylor's Version),- You Are In Love (Taylor's Version)
1989 (Taylor's Version),- New Romantics (Taylor's Version)
1989 (Taylor's Version),- Slut! (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Say Don't Go (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Now That We Don't Talk (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Suburban Legends (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Is It Over Now (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Bad Blood (Remix) (Taylor's Version)
1989 (Taylor's Version),- Sweeter Than Fiction (Taylor's Version)
1989 (Taylor's Version),- Slut! (Acoustic Version) (Taylor's Version)
evermore,- willow
evermore,- champagne problems
evermore,- gold rush
evermore,- 'tis the damn season
evermore,- tolerate it
evermore,"- no body, no crime"
evermore,- happiness
evermore,- dorothea
evermore,- coney island
evermore,- ivy
evermore,- cowboy like me
evermore,- long story short
evermore,- marjorie
evermore,- closure
evermore,- evermore
evermore,- right where you left me
evermore,- it's time to go
Fearless (Taylor's Version),- Fearless (Taylor's Version)
Fearless (Taylor's Version),- Fifteen (Taylor's Version)
Fearless (Taylor's Version),- Love Story (Taylor's Version)
Fearless (Taylor's Version),- Hey Stephen (Taylor's Version)
Fearless (Taylor's Version),- White Horse (Taylor's Version)
Fearless (Taylor's Version),- You Belong With Me (Taylor's Version)
Fearless (Taylor's Version),- Breathe (Taylor's Version)
Fearless (Taylor's Version),- Tell Me Why (Taylor's Version)
Fearless (Taylor's Version),- You're Not Sorry (Taylor's Version)
Fearless (Taylor's Version),- The Way I Loved You (Taylor's Version)
Fearless (Taylor's Version),- Forever & Always (Taylor's Version)
Fearless (Taylor's Version),- The Best Day (Taylor's Version)
Fearless (Taylor's Version),- Change (Taylor's Version)
Fearless (Taylor's Version),- Jump Then Fall (Taylor's Version)
Fearless (Taylor's Version),- Untouchable (Taylor's Version)
Fearless (Taylor's Version),- Forever & Always (Piano Version) (Taylor's Version)
Fearless (Taylor's Version),- Come In With The Rain (Taylor's Version)
Fearless (Taylor's Version),- Superstar (Taylor's Version)
Fearless (Taylor's Version),- The Other Side Of The Door (Taylor's Version)
Fearless (Taylor's Version),- Today Was A Fairytale (Taylor's Version)
Fearless (Taylor's Version),- You All Over Me (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- Mr. Perfectly Fine (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- We Were Happy (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- That's When (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- Don't You (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- Bye Bye Baby (Taylor's Version) (From The Vault)
folklore,- the 1
folklore,- cardigan
folklore,- the last great american dynasty
folklore,- exile
folklore,- my tears ricochet
folklore,- mirrorball
folklore,- seven
folklore,- august
folklore,- this is me trying
folklore,- illicit affairs
folklore,- invisible string
folklore,- mad woman
folklore,- epiphany
folklore,- betty
folklore,- peace
folklore,- hoax
folklore,- the lakes
Lover,- I Forgot That You Existed
Lover,- Cruel Summer
Lover,- Lover
Lover,- The Man
Lover,- The Archer
Lover,- I Think He Knows
Lover,- Miss Americana & The Heartbreak Prince
Lover,- Paper Rings
Lover,- Cornelia Street
Lover,- Death By A Thousand Cuts
Lover,- London Boy
Lover,- Soon You'll Get Better
Lover,- False God
Lover,- You Need To Calm Down
Lover,- Afterglow
Lover,- ME!
Lover,- It's Nice To Have A Friend
Lover,- Daylight
Midnights,- Lavender Haze
Midnights,- Maroon
Midnights,- Anti-Hero
Midnights,- Snow On The Beach
Midnights,"- You're On Your Own, Kid"
Midnights,- Midnight Rain
Midnights,- Question
