album,year,trackNumber,songTitle,collaborators,path
1989 (Taylor's Version),1989,1,Welcome To New York (Taylor's Version),,1989 (Taylor's Version)\01 - Welcome To New York (Taylor's Version).txt
1989 (Taylor's Version),1989,2,Blank Space (Taylor's Version),,1989 (Taylor's Version)\02 - Blank Space (Taylor's Version).txt
1989 (Taylor's Version),1989,3,Style (Taylor's Version),,1989 (Taylor's Version)\03 - Style (Taylor's Version).txt
1989 (Taylor's Version),1989,4,Out Of The Woods (Taylor's Version),,1989 (Taylor's Version)\04 - Out Of The Woods (Taylor's Version).txt
1989 (Taylor's Version),1989,5,All You Had To Do Was Stay (Taylor's Version),,1989 (Taylor's Version)\05 - All You Had To Do Was Stay (Taylor's Version).txt
1989 (Taylor's Version),1989,6,Shake It Off (Taylor's Version),,1989 (Taylor's Version)\06 - Shake It Off (Taylor's Version).txt
1989 (Taylor's Version),1989,7,I Wish You Would (Taylor's Version),,1989 (Taylor's Version)\07 - I Wish You Would (Taylor's Version).txt
1989 (Taylor's Version),1989,8,Bad Blood (Taylor's Version),,1989 (Taylor's Version)\08 - Bad Blood (Taylor's Version).txt
1989 (Taylor's Version),1989,9,Wildest Dreams (Taylor's Version),,1989 (Taylor's Version)\09 - Wildest Dreams (Taylor's Version).txt
1989 (Taylor's Version),1989,10,How You Get The Girl (Taylor's Version),,1989 (Taylor's Version)\10 - How You Get The Girl (Taylor's Version).txt
1989 (Taylor's Version),1989,11,This Love (Taylor's Version),,1989 (Taylor's Version)\11 - This Love (Taylor's Version).txt
1989 (Taylor's Version),1989,12,I Know Places (Taylor's Version),,1989 (Taylor's Version)\12 - I Know Places (Taylor's Version).txt
1989 (Taylor's Version),1989,13,Clean (Taylor's Version),,1989 (Taylor's Version)\13 - Clean (Taylor's Version).txt
1989 (Taylor's Version),1989,14,Bad Blood (Remix),,1989 (Taylor's Version)\14 - Bad Blood (Remix).txt
1989 (Taylor's Version),1989,14,Wonderland (Taylor's Version),,1989 (Taylor's Version)\14 - Wonderland (Taylor's Version).txt
1989 (Taylor's Version),1989,15,You Are In Love (Taylor's Version),,1989 (Taylor's Version)\15 - You Are In Love (Taylor's Version).txt
1989 (Taylor's Version),1989,16,New Romantics (Taylor's Version),,1989 (Taylor's Version)\16 - New Romantics (Taylor's Version).txt
1989 (Taylor's Version),1989,17,Slut! (Taylor's Version) (From The Vault),,1989 (Taylor's Version)\17 - Slut! (Taylor's Version) (From The Vault).txt
1989 (Taylor's Version),1989,18,Say Don't Go (Taylor's Version) (From The Vault),,1989 (Taylor's Version)\18 - Say Don't Go (Taylor's Version) (From The Vault).txt
1989 (Taylor's Version),1989,19,Now That We Don't Talk (Taylor's Version) (From The Vault),,1989 (Taylor's Version)\19 - Now That We Don't Talk (Taylor's Version) (From The Vault).txt
1989 (Taylor's Version),1989,20,Suburban Legends (Taylor's Version) (From The Vault),,1989 (Taylor's Version)\20 - Suburban Legends (Taylor's Version) (From The Vault).txt
1989 (Taylor's Version),1989,21,Is It Over Now (Taylor's Version) (From The Vault),,1989 (Taylor's Version)\21 - Is It Over Now (Taylor's Version) (From The Vault).txt
1989 (Taylor's Version),1989,23,Sweeter Than Fiction (Taylor's Version),,1989 (Taylor's Version)\23 - Sweeter Than Fiction (Taylor's Version).txt
evermore,,1,willow,,evermore\01 - willow.txt
evermore,,2,champagne problems,,evermore\02 - champagne problems.txt
evermore,,3,gold rush,,evermore\03 - gold rush.txt
evermore,,4,'tis the damn season,,evermore\04 - 'tis the damn season.txt
evermore,,5,tolerate it,,evermore\05 - tolerate it.txt
evermore,,6,"no body, no crime",,"evermore\06 - no body, no crime.txt"
evermore,,7,happiness,,evermore\07 - happiness.txt
evermore,,8,dorothea,,evermore\08 - dorothea.txt
evermore,,9,coney island,,evermore\09 - coney island.txt
evermore,,10,ivy,,evermore\10 - ivy.txt
evermore,,11,cowboy like me,,evermore\11 - cowboy like me.txt
evermore,,12,long story short,,evermore\12 - long story short.txt
evermore,,13,marjorie,,evermore\13 - marjorie.txt
evermore,,14,closure,,evermore\14 - closure.txt
evermore,,15,evermore,,evermore\15 - evermore.txt
evermore,,16,right where you left me,,evermore\16 - right where you left me.txt
evermore,,17,it's time to go,,evermore\17 - it's time to go.txt
Fearless (Taylor's Version),,1,Fearless (Taylor's Version),,Fearless (Taylor's Version)\01 - Fearless (Taylor's Version).txt
Fearless (Taylor's Version),,2,Fifteen (Taylor's Version),,Fearless (Taylor's Version)\02 - Fifteen (Taylor's Version).txt
Fearless (Taylor's Version),,3,Love Story (Taylor's Version),,Fearless (Taylor's Version)\03 - Love Story (Taylor's Version).txt
